File Path,filename,name,height,width,xmin,ymin,xmax,ymax
PASCAL VOC with XML Files\Cat\Annotations\5c50479d-56new.xml,5c50479d-56new.png,Cat,720,720,5,0,719,713
PASCAL VOC with XML Files\Cat\Annotations\5d055f30-46.xml,5d055f30-46.png,Cat,720,720,0,143,719,613
PASCAL VOC with XML Files\Cat\Annotations\5dc77e30-164.xml,5dc77e30-164.png,Cat,720,720,129,185,719,610
PASCAL VOC with XML Files\Cat\Annotations\5e4b96c5-251.xml,5e4b96c5-251.png,Cat,720,720,22,41,719,690
PASCAL VOC with XML Files\Cat\Annotations\614dd27f-151.xml,614dd27f-151.png,Cat,720,720,26,0,571,696
PASCAL VOC with XML Files\Cat\Annotations\61e31bfa-127.xml,61e31bfa-127.png,Cat,720,720,0,0,720,638
PASCAL VOC with XML Files\Cat\Annotations\631a3a24-xcgv.xml,631a3a24-xcgv.png,Cat,720,720,28,139,689,572
PASCAL VOC with XML Files\Cat\Annotations\636ae41a-83.xml,636ae41a-83.png,Cat,720,720,0,28,602,719
PASCAL VOC with XML Files\Cat\Annotations\65138f0e-382.xml,65138f0e-382.png,Cat,720,720,15,36,508,711
PASCAL VOC with XML Files\Cat\Annotations\65740224-122.xml,65740224-122.png,Cat,720,720,15,74,471,719
PASCAL VOC with XML Files\Cat\Annotations\658a5c3b-182.xml,658a5c3b-182.png,Cat,720,720,0,27,720,650
PASCAL VOC with XML Files\Cat\Annotations\65b700d7-265.xml,65b700d7-265.png,Cat,720,720,101,22,664,705
PASCAL VOC with XML Files\Cat\Annotations\66a150a3-134.xml,66a150a3-134.png,Cat,720,720,104,27,719,664
PASCAL VOC with XML Files\Cat\Annotations\67343ee9-286.xml,67343ee9-286.png,Cat,720,720,97,0,562,720
PASCAL VOC with XML Files\Cat\Annotations\67c08f5e-223.xml,67c08f5e-223.png,Cat,720,720,13,30,683,719
PASCAL VOC with XML Files\Cat\Annotations\67d69fd7-36.xml,67d69fd7-36.png,Cat,720,720,52,13,545,659
PASCAL VOC with XML Files\Cat\Annotations\698698b2-208.xml,698698b2-208.png,Cat,720,720,20,0,695,524
PASCAL VOC with XML Files\Cat\Annotations\69f2c867-153.xml,69f2c867-153.png,Cat,720,720,133,13,659,719
PASCAL VOC with XML Files\Cat\Annotations\6a5aa67a-dxfgh.xml,6a5aa67a-dxfgh.png,Cat,720,720,215,74,599,664
PASCAL VOC with XML Files\Cat\Annotations\6b343663-195.xml,6b343663-195.png,Cat,720,720,49,163,617,615
PASCAL VOC with XML Files\Cat\Annotations\6cb2cc1e-3.xml,6cb2cc1e-3.png,Cat,720,720,2,33,719,644
PASCAL VOC with XML Files\Cat\Annotations\6e8ef5fd-26.xml,6e8ef5fd-26.png,Cat,720,720,10,0,719,720
PASCAL VOC with XML Files\Cat\Annotations\6f5bbea0-350.xml,6f5bbea0-350.png,Cat,720,720,198,84,719,717
PASCAL VOC with XML Files\Cat\Annotations\72023fe6-147.xml,72023fe6-147.png,Cat,720,720,0,2,712,719
PASCAL VOC with XML Files\Cat\Annotations\73947fd9-79.xml,73947fd9-79.png,Cat,720,720,31,2,719,719
PASCAL VOC with XML Files\Cat\Annotations\743466fb-71.xml,743466fb-71.png,Cat,720,720,0,79,717,654
PASCAL VOC with XML Files\Cat\Annotations\79577b12-sdfh.xml,79577b12-sdfh.png,Cat,720,720,52,185,650,613
PASCAL VOC with XML Files\Cat\Annotations\7a5cfc38-23.xml,7a5cfc38-23.png,Cat,720,720,0,11,682,719
PASCAL VOC with XML Files\Cat\Annotations\7b70e0e2-161.xml,7b70e0e2-161.png,Cat,720,720,9,371,348,719
PASCAL VOC with XML Files\Cat\Annotations\7ce3dacd-112.xml,7ce3dacd-112.png,Cat,720,720,110,0,659,493
PASCAL VOC with XML Files\Cat\Annotations\7e14fa5f-275.xml,7e14fa5f-275.png,Cat,720,720,0,0,596,719
PASCAL VOC with XML Files\Cat\Annotations\7e16ddf8-r1.xml,7e16ddf8-r1.png,Cat,720,720,63,32,361,367
PASCAL VOC with XML Files\Cat\Annotations\80ad6e0a-175.xml,80ad6e0a-175.png,Cat,720,720,2,5,664,715
PASCAL VOC with XML Files\Cat\Annotations\80b468bd-353.xml,80b468bd-353.png,Cat,720,720,0,1,679,663
PASCAL VOC with XML Files\Cat\Annotations\8104f6cd-78.xml,8104f6cd-78.png,Cat,720,720,86,0,719,633
PASCAL VOC with XML Files\Cat\Annotations\835eecf5-r8.xml,835eecf5-r8.png,Cat,720,720,2,10,719,671
PASCAL VOC with XML Files\Cat\Annotations\844c64ba-57.xml,844c64ba-57.png,Cat,720,720,116,164,719,719
PASCAL VOC with XML Files\Cat\Annotations\85393569-267.xml,85393569-267.png,Cat,720,720,0,9,706,719
PASCAL VOC with XML Files\Cat\Annotations\86c19cf9-85.xml,86c19cf9-85.png,Cat,720,720,122,0,719,719
PASCAL VOC with XML Files\Cat\Annotations\8ae8b8c0-196.xml,8ae8b8c0-196.png,Cat,720,720,73,41,684,719
PASCAL VOC with XML Files\Cat\Annotations\8cf13cc0-16.xml,8cf13cc0-16.png,Cat,720,720,0,4,710,719
PASCAL VOC with XML Files\Cat\Annotations\8cf9afe4-314.xml,8cf9afe4-314.png,Cat,720,720,2,185,719,715
PASCAL VOC with XML Files\Cat\Annotations\8d3d8eb8-45.xml,8d3d8eb8-45.png,Cat,720,720,0,0,719,720
PASCAL VOC with XML Files\Cat\Annotations\8e1c4485-94.xml,8e1c4485-94.png,Cat,720,720,1,130,694,565
PASCAL VOC with XML Files\Cat\Annotations\90a48a05-87.xml,90a48a05-87.png,Cat,720,720,300,70,719,719
PASCAL VOC with XML Files\Cat\Annotations\90b213d3-rth.xml,90b213d3-rth.png,Cat,720,720,226,35,489,627
PASCAL VOC with XML Files\Cat\Annotations\9325baa6-304.xml,9325baa6-304.png,Cat,720,720,101,58,704,680
PASCAL VOC with XML Files\Cat\Annotations\936ba287-329.xml,936ba287-329.png,Cat,720,720,43,13,670,686
PASCAL VOC with XML Files\Cat\Annotations\936bca0f-298.xml,936bca0f-298.png,Cat,720,720,16,212,719,525
PASCAL VOC with XML Files\Cat\Annotations\96adcfb7-272.xml,96adcfb7-272.png,Cat,720,720,43,28,639,719
PASCAL VOC with XML Files\Cat\Annotations\98c6e444-318.xml,98c6e444-318.png,Cat,720,720,3,35,700,551
PASCAL VOC with XML Files\Cat\Annotations\98e813b5-54.xml,98e813b5-54.png,Cat,720,720,15,14,719,710
PASCAL VOC with XML Files\Cat\Annotations\9955e352-340.xml,9955e352-340.png,Cat,720,720,0,127,713,672
PASCAL VOC with XML Files\Cat\Annotations\9b4d0452-377.xml,9b4d0452-377.png,Cat,720,720,133,127,706,715
PASCAL VOC with XML Files\Cat\Annotations\9da3cdb1-42.xml,9da3cdb1-42.png,Cat,720,720,23,7,702,695
PASCAL VOC with XML Files\Cat\Annotations\9dd15a11-9.xml,9dd15a11-9.png,Cat,720,720,0,27,687,719
PASCAL VOC with XML Files\Cat\Annotations\9ddefd5a-4.xml,9ddefd5a-4.png,Cat,720,720,2,0,719,619
PASCAL VOC with XML Files\Cat\Annotations\9e148cd3-rtyu.xml,9e148cd3-rtyu.png,Cat,720,720,0,0,690,719
PASCAL VOC with XML Files\Cat\Annotations\9f1d8ff7-317.xml,9f1d8ff7-317.png,Cat,720,720,0,82,717,647
PASCAL VOC with XML Files\Cat\Annotations\9f4aed82-352.xml,9f4aed82-352.png,Cat,720,720,0,0,654,648
PASCAL VOC with XML Files\Cat\Annotations\9fe3b27d-363.xml,9fe3b27d-363.png,Cat,720,720,66,6,719,719
PASCAL VOC with XML Files\Cat\Annotations\a0fb6242-231.xml,a0fb6242-231.png,Cat,720,720,65,0,564,695
PASCAL VOC with XML Files\Cat\Annotations\a151b6ef-51.xml,a151b6ef-51.png,Cat,720,720,19,15,495,719
PASCAL VOC with XML Files\Cat\Annotations\a22aebd5-62.xml,a22aebd5-62.png,Cat,720,720,0,61,699,624
PASCAL VOC with XML Files\Cat\Annotations\a5d09dac-86.xml,a5d09dac-86.png,Cat,720,720,594,395,719,682
PASCAL VOC with XML Files\Cat\Annotations\a6a3856d-xcvbn.xml,a6a3856d-xcvbn.png,Cat,720,720,71,14,702,719
PASCAL VOC with XML Files\Cat\Annotations\a805c290-31.xml,a805c290-31.png,Cat,720,720,20,46,719,719
PASCAL VOC with XML Files\Cat\Annotations\a81121c8-73.xml,a81121c8-73.png,Cat,720,720,0,0,720,719
PASCAL VOC with XML Files\Cat\Annotations\a8582fa0-2.xml,a8582fa0-2.png,Cat,720,720,71,14,581,713
PASCAL VOC with XML Files\Cat\Annotations\a9a1534e-93.xml,a9a1534e-93.png,Cat,720,720,26,31,719,719
PASCAL VOC with XML Files\Cat\Annotations\aa36b5fb-90.xml,aa36b5fb-90.png,Cat,720,720,20,13,604,719
PASCAL VOC with XML Files\Cat\Annotations\afe46e7f-67.xml,afe46e7f-67.png,Cat,720,720,39,80,719,688
PASCAL VOC with XML Files\Cat\Annotations\b3a985ce-seaery.xml,b3a985ce-seaery.png,Cat,720,720,16,82,661,659
PASCAL VOC with XML Files\Cat\Annotations\b3dd5a4e-371.xml,b3dd5a4e-371.png,Cat,720,720,0,0,657,708
PASCAL VOC with XML Files\Cat\Annotations\b56fa763-126.xml,b56fa763-126.png,Cat,720,720,7,3,719,719
PASCAL VOC with XML Files\Cat\Annotations\b5cecba0-351.xml,b5cecba0-351.png,Cat,720,720,96,80,703,621
PASCAL VOC with XML Files\Cat\Annotations\b8c568f6-141.xml,b8c568f6-141.png,Cat,720,720,0,83,720,719
PASCAL VOC with XML Files\Cat\Annotations\b98d6542-r9.xml,b98d6542-r9.png,Cat,720,720,57,0,719,717
PASCAL VOC with XML Files\Cat\Annotations\ba81a296-105.xml,ba81a296-105.png,Cat,720,720,86,61,670,638
PASCAL VOC with XML Files\Cat\Annotations\bb239d4a-74.xml,bb239d4a-74.png,Cat,720,720,14,146,688,682
PASCAL VOC with XML Files\Cat\Annotations\bdd01b14-263.xml,bdd01b14-263.png,Cat,720,720,0,49,717,714
PASCAL VOC with XML Files\Cat\Annotations\c3cef918-7.xml,c3cef918-7.png,Cat,720,720,2,3,572,686
PASCAL VOC with XML Files\Cat\Annotations\c3f1e317-154.xml,c3f1e317-154.png,Cat,720,720,5,200,696,638
PASCAL VOC with XML Files\Cat\Annotations\c43e5afd-246.xml,c43e5afd-246.png,Cat,720,720,195,240,719,661
PASCAL VOC with XML Files\Cat\Annotations\c5b0b2c2-310.xml,c5b0b2c2-310.png,Cat,720,720,1,14,706,719
PASCAL VOC with XML Files\Cat\Annotations\c68bcb84-221.xml,c68bcb84-221.png,Cat,720,720,1,5,717,666
PASCAL VOC with XML Files\Cat\Annotations\c717be60-xfgj.xml,c717be60-xfgj.png,Cat,720,720,1,217,619,494
PASCAL VOC with XML Files\Cat\Annotations\c7779fd5-13.xml,c7779fd5-13.png,Cat,720,720,22,0,599,719
PASCAL VOC with XML Files\Cat\Annotations\c7cbdf0c-set.xml,c7cbdf0c-set.png,Cat,720,720,208,2,684,598
PASCAL VOC with XML Files\Cat\Annotations\c8265ee1-66.xml,c8265ee1-66.png,Cat,720,720,147,30,698,605
PASCAL VOC with XML Files\Cat\Annotations\c838ffc8-235.xml,c838ffc8-235.png,Cat,720,720,54,40,711,668
PASCAL VOC with XML Files\Cat\Annotations\c88b0abe-321.xml,c88b0abe-321.png,Cat,720,720,105,0,538,576
PASCAL VOC with XML Files\Cat\Annotations\c9357c7b-341.xml,c9357c7b-341.png,Cat,720,720,430,11,679,715
PASCAL VOC with XML Files\Cat\Annotations\ca09a5fc-81.xml,ca09a5fc-81.png,Cat,720,720,126,0,719,719
PASCAL VOC with XML Files\Cat\Annotations\caf2fb1b-dfh.xml,caf2fb1b-dfh.png,Cat,720,720,0,95,675,719
PASCAL VOC with XML Files\Cat\Annotations\cfe2b7a1-wrt.xml,cfe2b7a1-wrt.png,Cat,720,720,44,45,619,607
PASCAL VOC with XML Files\Cat\Annotations\d04247db-320.xml,d04247db-320.png,Cat,720,720,92,41,719,719
PASCAL VOC with XML Files\Cat\Annotations\d139d16c-349.xml,d139d16c-349.png,Cat,720,720,164,1,587,719
PASCAL VOC with XML Files\Cat\Annotations\d1da3bc2-82.xml,d1da3bc2-82.png,Cat,720,720,5,5,710,653
PASCAL VOC with XML Files\Cat\Annotations\d223c97f-171.xml,d223c97f-171.png,Cat,720,720,253,78,563,719
PASCAL VOC with XML Files\Cat\Annotations\d27dabb3-75.xml,d27dabb3-75.png,Cat,720,720,11,0,719,717
PASCAL VOC with XML Files\Cat\Annotations\d38c8bc4-233.xml,d38c8bc4-233.png,Cat,720,720,183,79,672,718
PASCAL VOC with XML Files\Cat\Annotations\d5882a19-283.xml,d5882a19-283.png,Cat,720,720,0,0,720,719
PASCAL VOC with XML Files\Cat\Annotations\d7fd709e-29.xml,d7fd709e-29.png,Cat,720,720,2,1,719,712
PASCAL VOC with XML Files\Cat\Annotations\d996d570-270.xml,d996d570-270.png,Cat,720,720,169,66,483,652
PASCAL VOC with XML Files\Cat\Annotations\dae21c91-311.xml,dae21c91-311.png,Cat,720,720,168,77,719,717
PASCAL VOC with XML Files\Cat\Annotations\dd6beacb-313.xml,dd6beacb-313.png,Cat,720,720,52,41,693,712
PASCAL VOC with XML Files\Cat\Annotations\dd8c16fb-148.xml,dd8c16fb-148.png,Cat,720,720,0,13,719,719
PASCAL VOC with XML Files\Cat\Annotations\dea18664-dfg.xml,dea18664-dfg.png,Cat,720,720,106,96,719,719
PASCAL VOC with XML Files\Cat\Annotations\df59a7d1-10.xml,df59a7d1-10.png,Cat,720,720,18,74,681,689
PASCAL VOC with XML Files\Cat\Annotations\e1e5908d-179.xml,e1e5908d-179.png,Cat,720,720,159,75,599,719
PASCAL VOC with XML Files\Cat\Annotations\e44c4ca9-207.xml,e44c4ca9-207.png,Cat,720,720,45,6,249,368
PASCAL VOC with XML Files\Cat\Annotations\e4ee1438-114.xml,e4ee1438-114.png,Cat,720,720,1,56,719,602
PASCAL VOC with XML Files\Cat\Annotations\ea4c8b49-237.xml,ea4c8b49-237.png,Cat,720,720,60,11,684,690
PASCAL VOC with XML Files\Cat\Annotations\eaed13f3-33.xml,eaed13f3-33.png,Cat,720,720,127,23,544,701
PASCAL VOC with XML Files\Cat\Annotations\eb79e8ae-331.xml,eb79e8ae-331.png,Cat,720,720,276,178,579,488
PASCAL VOC with XML Files\Cat\Annotations\ebf2226e-asdfg.xml,ebf2226e-asdfg.png,Cat,720,720,241,3,471,719
PASCAL VOC with XML Files\Cat\Annotations\ed465cee-219.xml,ed465cee-219.png,Cat,720,720,1,0,674,629
PASCAL VOC with XML Files\Cat\Annotations\ed6d26b7-37.xml,ed6d26b7-37.png,Cat,720,720,2,0,719,717
PASCAL VOC with XML Files\Cat\Annotations\eda965d6-awedg.xml,eda965d6-awedg.png,Cat,720,720,0,14,719,684
PASCAL VOC with XML Files\Cat\Annotations\f044f741-43.xml,f044f741-43.png,Cat,720,720,65,0,708,720
PASCAL VOC with XML Files\Cat\Annotations\f136529b-70.xml,f136529b-70.png,Cat,720,720,209,18,694,516
PASCAL VOC with XML Files\Cat\Annotations\f282aca7-88.xml,f282aca7-88.png,Cat,720,720,161,82,544,610
PASCAL VOC with XML Files\Cat\Annotations\f557c173-383.xml,f557c173-383.png,Cat,720,720,3,0,643,679
PASCAL VOC with XML Files\Cat\Annotations\f614f76a-271.xml,f614f76a-271.png,Cat,720,720,23,10,719,602
PASCAL VOC with XML Files\Cat\Annotations\f866b223-152.xml,f866b223-152.png,Cat,720,720,108,129,620,719
PASCAL VOC with XML Files\Cat\Annotations\fa24b64e-123.xml,fa24b64e-123.png,Cat,720,720,78,40,675,698
PASCAL VOC with XML Files\Cat\Annotations\fa7eabb5-315.xml,fa7eabb5-315.png,Cat,720,720,157,0,629,692
PASCAL VOC with XML Files\Cat\Annotations\faf9f094-170.xml,faf9f094-170.png,Cat,720,720,0,19,706,719
PASCAL VOC with XML Files\Cat\Annotations\fb194fbb-260.xml,fb194fbb-260.png,Cat,720,720,2,80,715,719
PASCAL VOC with XML Files\Cat\Annotations\fc594eed-346.xml,fc594eed-346.png,Cat,720,720,0,24,700,719
PASCAL VOC with XML Files\Cat\Annotations\fdfb1124-213.xml,fdfb1124-213.png,Cat,720,720,9,21,719,680
PASCAL VOC with XML Files\Cat\Annotations\fe20b754-cvb.xml,fe20b754-cvb.png,Cat,720,720,133,99,700,695
